output_dir	/Users/suvamsh/Documents/code/screamer/tmp/replay-refresh-20260409-apply
backup_path	/Users/suvamsh/Documents/code/screamer/tmp/replay-refresh-20260409-apply/sessions.backup.sqlite
id	old_title	new_title	old_chars	new_chars	old_meta_hits	new_meta_hits	title_changed	summary_changed	transcript_changed	status
27	Fallback Topic Ambient Session	Ambient Session Notes	101	107	0	0	true	true	false	applied
26	Consequently Live Risk Review	Scam URL Rollout	162	1372	0	0	true	true	false	applied
25	Fallback Topic Ambient Session	Ambient Session Notes	101	107	0	0	true	true	false	applied
24	Hey Jest Morning And	On Call Coverage	10943	1054	9	0	true	true	true	applied
23	Fallback Topic The Game	Ambient Session Notes	7469	546	1	0	true	true	true	applied
22	Person A I Do	Ambient Session Notes	5348	311	0	0	true	true	true	applied
21	Ai Recruiters Speed &	Job Board Critique Points	5823	634	0	0	true	true	true	applied
20	Person A Stand With	Finance And Savings Hacks	7500	806	0	0	true	true	true	applied
19	Person A Normal Looking	Self Registration Security	31242	405	3	0	true	true	true	applied
18	Person A Biden Diana	TMC Access Control	17233	1067	1	0	true	true	true	applied
17	Person A You Have	Session Notes Archive	5538	422	0	0	true	true	true	applied
15	Person A It S	Ambient Session Notes	11806	697	0	0	true	true	true	applied
14	Person A Happy On	OCC Feed Escalations	2279	136	0	0	true	true	true	applied
13	I Don T Know	Ambient Session Notes	3239	146	0	0	true	true	true	applied
12	Alright Let S See	Live Transcription Notes	2413	202	0	0	true	true	true	applied
11	I Do I M	Ambient Session Notes	1880	292	0	0	true	true	true	applied
10	Jesus No No No	Ambient Session Notes	384	107	0	0	true	true	true	applied
9	Hi Does He Also	Hi Does He Also	4274	44	0	0	false	true	true	applied
8	Are You Holding Tabs	Are You Holding Tabs	11265	53	1	0	false	true	true	applied
7	Nope Promise I M	Nope Promise I M	2860	75	0	0	false	true	true	applied
6	Have No Interest I	Live Conversation Notes	3765	236	0	0	true	true	true	applied
5	Customary Did You See	Ambient Session Notes	4465	546	0	0	true	true	true	applied
4	I M For A	Ambient Session Notes	2325	350	0	0	true	true	true	applied
3	Which Meat You Want	Meat Fridge Thoughts	1441	48	0	0	true	true	true	applied
2	Start Cleaning You Want	Metal Vs Kuda	8954	861	0	0	true	true	true	applied
1	You: hospital we have	Ambient Session Notes	9803	846	0	0	true	true	true	applied
summary	applied=26	unchanged=0	errors=0
